[2022-03-11 16:37:41,862] - Logs.py] - ERROR: 打开浏览器异常
[2022-03-11 16:38:05,683] - Logs.py] - INFO: 打开浏览器成功
[2022-03-11 16:38:05,713] - Logs.py] - INFO: 输入账号成功
[2022-03-11 16:38:05,738] - Logs.py] - INFO: 输入密码成功
[2022-03-11 16:38:05,822] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:11,853] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:14,134] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:16,140] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:16,141] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:16,201] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:16,393] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:18,675] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:20,693] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:20,694] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:20,748] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:20,908] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:23,162] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:25,179] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:25,179] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:25,231] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:25,387] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:27,638] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:29,647] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:29,648] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:29,706] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:29,872] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:32,126] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:34,137] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:34,137] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:34,192] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:34,364] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:36,627] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:38,650] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:38,650] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:38,703] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:38,884] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:41,152] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:43,163] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:43,164] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:43,220] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:43,393] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:45,647] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:47,667] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:47,668] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:47,721] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:47,888] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:50,148] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:52,163] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:52,164] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:52,221] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:52,390] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:54,641] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:56,654] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:38:56,654] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:38:56,706] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:38:56,860] - Logs.py] - INFO: 清理成功
[2022-03-11 16:38:59,123] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:01,142] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:39:01,143] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:01,196] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:39:01,367] - Logs.py] - INFO: 清理成功
[2022-03-11 16:39:03,706] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:05,727] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:39:05,728] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:05,779] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:39:05,937] - Logs.py] - INFO: 清理成功
[2022-03-11 16:39:08,218] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:10,234] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:39:10,235] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:10,287] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:39:10,449] - Logs.py] - INFO: 清理成功
[2022-03-11 16:39:12,716] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:14,726] - Logs.py] - ERROR: 找不到该元素/html/body/div[1]/div[1]/div/header/div/div[1]/img
[2022-03-11 16:39:14,726] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:14,778] - Logs.py] - INFO: 保存页面截图成功
[2022-03-11 16:39:14,939] - Logs.py] - INFO: 清理成功
[2022-03-11 16:39:17,197] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:17,240] - Logs.py] - INFO: 点击登陆成功
[2022-03-11 16:39:17,574] - Logs.py] - INFO: 点击成功
[2022-03-11 16:39:18,870] - Logs.py] - INFO: 点击成功
[2022-03-11 16:39:21,195] - Logs.py] - INFO: 点击成功
